Time,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
192607,0.34,-5.41,1.07,2.71,10.75,-0.7,7.86,1.55,7.92,0.17,1.85,3.85,5.21,2.96,16.17,0.8,5.42,1.32,-1.62,6.82,0.61,9,1.84,7.48,1.69,-24.01,-0.15,1.65,-0.24,4.98
192608,2.34,26.78,6.25,0.3,9.76,-3.83,-2.76,4,5.25,7.72,4.47,1.92,1.81,1.85,3.98,1.41,0.3,0.6,3.44,-1.94,1.92,1.77,4.14,-2.63,4.6,5.14,-1,-0.38,4.22,6.51
192609,0.93,3.79,1.03,6.35,-1.22,0.5,-0.74,0.46,5.1,2.07,-0.73,-0.08,0.13,-0.79,4.6,2.5,1.51,0.07,-3.92,1.81,2.18,2.02,-0.04,-5.77,-0.16,-8.1,0.02,-0.79,-1.84,-4.09
192610,-3.38,-3.63,0.74,-5.08,9.15,-5,-0.2,-0.89,-5.08,0.68,-4.87,-4.17,0.79,-6.05,-8.25,-5.88,-3.52,1.91,-1.36,-2.95,-0.43,-2.32,-1.41,-5.4,-2.93,-15.7,-2.52,-4.43,-5.83,-8.81
192611,6.04,6.98,4.24,1.35,-6.11,-0.85,1.56,5.11,4.89,2.79,1.89,3.55,2.87,4.77,-0.97,7.56,8.15,-0.79,-0.25,3.4,1.32,3.46,3.33,3.53,1.3,4.36,6.21,4.02,2.03,3.69
192612,-0.79,-4.37,2.27,1.89,0.25,2.28,0.32,-0.17,5.09,6.11,3.24,3.47,4.74,-2.75,10.21,2.2,1.55,1.15,2.66,-0.45,1.71,5.93,6.96,-4.91,3.4,9.37,0.29,1.23,2.32,-2.62
192701,-1.09,0.32,-0.6,1.62,9.42,3.83,-1.31,4.8,-0.02,-1.74,-2.14,-0.64,0.94,-1.27,-1.06,-0.86,3.92,-3.31,1.42,-2.04,1.63,1.83,-1.7,-2.85,1.17,-18.18,-2.95,1.27,-2.29,-4.21
192702,4.16,12.57,1.23,1.38,1.15,4.31,2.51,1.45,9.43,7.4,3.91,3.41,7.59,4.04,9.3,4.34,4.94,5.38,0.87,4.27,3.71,8.64,4.59,5.2,4.92,3.23,3.21,6.6,2.45,0.02
192703,1.79,-13.86,5.21,0.72,-0.58,-0.38,0.6,0.71,5.77,-5.68,3.16,1.18,-2.54,0.1,1.26,-2.06,4.14,5.15,-7.31,0.07,5.26,-8.1,3.99,-9.97,0.72,-20.77,-0.6,-2.72,0.62,1.88
192704,2.47,2.6,3.76,-4.02,-1.21,1.19,5.7,2.49,2.7,0.21,-1.2,-0.59,1.57,6.04,2.66,-1,2.77,0.7,-6.03,1.46,-2.38,3.19,2.85,4.68,0.46,-11,4.13,6.31,2.2,5.02
